geonameid,name,asciiname,alternatenames,latitude,longitude,featureclass,featurecode,cc,cc2,admin1,admin2,admin3,admin4,population,dem,timezone,moddate
4046594,West Sawyers Dam,West Sawyers Dam,,30.7002,-94.4252,S,DAM,US,,TX,457,,,0,63,68,America/Chicago,2006-01-15
4046595,Bear Swamp,Bear Swamp,,32.4546,-86.59828,H,SWMP,US,,AL,001,,,0,45,59,America/Chicago,2011-12-11
4046596,White Elementary SPARK Park Trail,White Elementary SPARK Park Trail,,29.6969,-95.54272,R,TRL,US,,TX,201,,,0,22,27,America/Chicago,2006-01-15
4046597,Beard Cemetery,Beard Cemetery,"Beard Cemetery,Beards Bluff Cemetery",34.51898,-86.54332,S,CMTY,US,,AL,095,,,0,212,222,America/Chicago,2006-01-15
4046598,Wildcat Dam,Wildcat Dam,,30.90851,-98.38864,S,DAM,US,,TX,053,,,0,393,399,America/Chicago,2006-01-15
4046599,Beard Cemetery,Beard Cemetery,,33.40095,-88.11975,S,CMTY,US,,AL,107,,,0,79,82,America/Chicago,2010-02-14
4046600,Williams School,Williams School,,29.68773,-95.22882,S,SCH,US,,TX,201,,,0,8,10,America/Chicago,2010-09-05
4046601,Beard Cemetery,Beard Cemetery,,31.84932,-87.00748,S,CMTY,US,,AL,131,,,0,91,95,America/Chicago,2006-01-15
4046602,Willis Lake,Willis Lake,,30.0513,-99.32942,H,RSV,US,,TX,265,,,0,552,557,America/Chicago,2011-12-12
4046603,Beard Creek,Beard Creek,"Beard Creek,Philip Creek",31.11962,-87.80138,H,STM,US,,AL,003,,,0,7,15,America/Chicago,2006-01-15
4046604,Willow Branch Intermediate School,Willow Branch Intermediate School,,30.61326,-96.32968,S,SCH,US,,TX,041,,,0,95,95,America/Chicago,2006-01-15
4046605,Bear Point,Bear Point,,30.30159,-87.51637,T,CAPE,US,,AL,003,,,0,2,16,America/Indiana/Tell_City,2006-01-15
4046606,Woodland Cemetery,Woodland Cemetery,,33.07678,-95.42106,S,CMTY,US,,TX,223,,,0,141,151,America/Chicago,2006-01-15
4046607,Beard Memorial Hospital,Beard Memorial Hospital,,31.80877,-85.97801,S,HSP,US,,AL,109,,,0,155,162,America/Chicago,2010-02-14
4046608,Young Lake Dam,Young Lake Dam,,30.73019,-96.64358,S,DAM,US,,TX,331,,,0,87,94,America/Chicago,2006-01-15
4046609,Beards African Methodist Episcopal Zion Chapel,Beards African Methodist Episcopal Zion Chapel,,33.21428,-87.51251,S,CH,US,,AL,125,,,0,91,94,America/Chicago,2007-02-14
4046610,Zion Grove,Zion Grove,,31.87489,-94.78271,P,PPL,US,,TX,401,,,0,132,140,America/Chicago,2006-01-15
4046611,Beards Bar,Beards Bar,,34.38481,-86.32221,T,BAR,US,,AL,095,,,0,181,180,America/Chicago,2006-01-15
4046612,Arbuckle Neck,Arbuckle Neck,,37.85874,-75.50826,T,CAPE,US,,VA,001,,,0,1,-1,America/New_York,2010-02-18
4046613,Beards Mill,Beards Mill,,33.36567,-88.11975,P,PPL,US,,AL,107,,,0,66,68,America/Chicago,2010-02-14
4046614,Aylett Millpond,Aylett Millpond,,37.76708,-77.09163,H,RSV,US,,VA,101,,,0,3,16,America/New_York,2011-12-12
4046615,Beards Mine,Beards Mine,,33.75983,-87.19167,S,MN,US,,AL,127,,,0,132,140,America/Chicago,2010-02-14
4046616,Beaver Creek,Beaver Creek,,37.94542,-77.975,H,STM,US,,VA,109,,,0,80,87,America/New_York,2006-01-15
4046617,Beards Reef,Beards Reef,,34.39176,-86.32832,T,BAR,US,,AL,095,,,0,181,180,America/Chicago,2006-01-15
4046618,Orchard Acres,Orchard Acres,,34.90817,-82.32234,P,PPL,US,,SC,045,,,0,296,297,America/New_York,2006-01-15
4046619,Beargrass Creek,Beargrass Creek,"Bear Grass Creek,Beargrass Creek",31.20962,-85.95911,H,STM,US,,AL,031,,,0,49,61,America/Chicago,2010-02-14
4046620,Ben Hur,Ben Hur,"Ben Hur,Benhur",36.73287,-83.08211,P,PPL,US,,VA,105,,,0,440,447,America/New_York,2006-01-15
4046621,Beard Hill,Beard Hill,,31.30823,-88.1,T,MT,US,,AL,129,,,0,34,33,America/Chicago,2010-09-05
4046622,Bethlehem Church,Bethlehem Church,"Bethlehem Church,Brick Church",38.67318,-78.38223,S,CH,US,,VA,139,,,0,301,303,America/New_York,2006-01-15
4046623,Bears Ham School (historical),Bears Ham School (historical),,34.50926,-87.02445,S,SCH,US,,AL,103,,,0,203,206,America/Chicago,2010-02-14
4046624,Beulah Park,Beulah Park,,38.76206,-77.15693,L,PRK,US,,VA,059,,,0,71,70,America/New_York,2006-01-15
4046625,Bearthick Branch,Bearthick Branch,,31.3285,-86.80997,H,STM,US,,AL,035,,,0,48,60,America/Chicago,2006-01-15
4046626,Beverlytown,Beverlytown,"Beverly Town,Beverlytown",37.65208,-79.30337,P,PPL,US,,VA,009,,,0,425,429,America/New_York,2006-01-15
4046627,Bearpen Gut,Bearpen Gut,,31.23934,-87.9025,H,INLT,US,,AL,025,,,0,2,16,America/Chicago,2006-01-15
4046628,Bickley Mill,Bickley Mill,"Bickley Mill,Bickley Mills,Bickley's Mill",36.88899,-82.27764,P,PPL,US,,VA,167,,,0,500,500,America/New_York,2006-01-15
4046629,Beasley (historical),Beasley (historical),,33.7576,-85.98164,P,PPLQ,US,,AL,015,,,0,174,179,America/Chicago,2011-12-11
4046630,Big Gut,Big Gut,,37.77985,-75.54187,H,INLT,US,,VA,001,,,0,2,-4,America/New_York,2006-01-15
4046631,Beasley Bend,Beasley Bend,,34.13038,-87.30474,H,STMB,US,,AL,133,,,0,155,160,America/Chicago,2010-02-14
4046632,Big Ridge,Big Ridge,,37.683,-80.2718,T,RDGE,US,,VA,005,,,0,1028,1023,America/New_York,2010-02-18
4046633,Beasley Branch,Beasley Branch,,31.51183,-85.72772,H,STM,US,,AL,045,,,0,81,94,America/Chicago,2006-01-15
4046634,Bish Dam,Bish Dam,,37.47682,-78.29139,S,DAM,US,,VA,049,,,0,126,130,America/New_York,2010-02-18
4046635,Beasley,Beasley,,33.21207,-88.10003,P,PPL,US,,AL,107,,,0,65,68,America/Chicago,2010-02-14
4046636,Bledsoe Cemetery,Bledsoe Cemetery,,36.62287,-83.03433,S,CMTY,US,,VA,105,,,0,398,391,America/New_York,2006-01-15
4046637,Beasley Pond,Beasley Pond,,34.6787,-86.13693,H,LK,US,,AL,071,,,0,188,186,America/Chicago,2010-02-14
4046638,Blue Ridge Acres,Blue Ridge Acres,,38.03125,-78.79974,P,PPL,US,,VA,003,,,0,258,252,America/New_York,2006-01-15
4046639,Beasley School (historical),Beasley School (historical),,31.54044,-86.91942,S,SCH,US,,AL,035,,,0,137,144,America/Chicago,2006-01-15
4046640,Boaz,Boaz,,36.74682,-76.76162,P,PPL,US,,VA,093,,,0,25,31,America/New_York,2006-01-15
4046641,Beasley Spring,Beasley Spring,,34.81988,-87.72125,H,SPNG,US,,AL,077,,,0,137,138,America/Chicago,2011-12-11
4046642,Boulevard Heights,Boulevard Heights,,37.28821,-77.40276,P,PPL,US,,VA,041,,,0,15,16,America/New_York,2006-01-15
4046643,Beasley Spring,Beasley Spring,,34.9637,-87.01751,H,SPNG,US,,AL,083,,,0,181,189,America/Chicago,2006-01-15
4046644,Andrew J Brown Elementary School,Andrew J Brown Elementary School,"Andrew J Brown Elementary School,Brown School",36.72737,-76.59106,S,SCH,US,,VA,800,,,0,18,23,America/New_York,2010-02-18
4046645,Beasley Spring,Beasley Spring,,34.74898,-86.69639,H,SPNG,US,,AL,089,,,0,205,207,America/Chicago,2006-01-15
4046646,Buchanan Cemetery,Buchanan Cemetery,,37.11816,-82.4796,S,CMTY,US,,VA,051,,,0,613,608,America/New_York,2010-09-05
4046647,Beasleys Pond,Beasleys Pond,,32.23386,-85.42787,H,RSV,US,,AL,113,,,0,105,108,America/Chicago,2011-12-11
4046648,Buddle,Buddle,,36.91818,-80.84813,P,PPL,US,,VA,197,,,0,661,658,America/New_York,2006-01-15
4046649,Beason Cemetery,Beason Cemetery,,34.66453,-86.42721,S,CMTY,US,,AL,089,,,0,198,198,America/Chicago,2006-01-15
4046650,Byrds Bridge,Byrds Bridge,"Byrd's Bridge,Byrds Bridge",37.77181,-76.78968,S,BDG,US,,VA,057,,,0,28,21,America/New_York,2006-01-15
4046651,Beason Cove,Beason Cove,"Beason Cove,Crawfords Cove",33.89427,-86.29942,T,VAL,US,,AL,115,,,0,198,199,America/Chicago,2010-02-14
4046652,Camp Bethel,Camp Bethel,,36.99455,-82.56738,S,CMP,US,,VA,195,,,0,781,800,America/New_York,2010-02-18
4046653,Beasley Cemetery,Beasley Cemetery,,33.9776,-87.67058,S,CMTY,US,,AL,093,,,0,168,170,America/Chicago,2010-02-14
4046654,Capeville,Capeville,,37.20292,-75.95715,P,PPL,US,,VA,131,,,0,9,8,America/New_York,2006-01-15
4046655,Beason Grove Cemetery,Beason Grove Cemetery,,33.56039,-85.55273,S,CMTY,US,,AL,029,,,0,282,293,America/Chicago,2006-01-15
4046656,Cat Knob,Cat Knob,,38.46983,-78.43233,T,MT,US,,VA,113,,,0,985,1117,America/New_York,2019-03-05
4046657,Beason Mill,Beason Mill,"Beason Mill,Beasons Mill",33.56316,-85.56023,S,,US,,AL,029,,,0,267,266,America/Chicago,2010-02-14
4046658,Cattail School (historical),Cattail School (historical),,37.47208,-76.32161,S,SCH,US,,VA,115,,,0,2,5,America/New_York,2006-01-15
4046659,Beason Spring,Beason Spring,,34.83914,-86.24391,H,SPNG,US,,AL,071,,,0,200,219,America/Chicago,2011-12-11
4046660,Cheriton Elementary School,Cheriton Elementary School,,37.28653,-75.97188,S,SCH,US,,VA,131,,,0,6,9,America/New_York,2006-01-15
4046661,Beason Spring,Beason Spring,,34.7382,-86.37604,H,SPNG,US,,AL,089,,,0,195,194,America/Chicago,2011-12-11
4046662,Claresville,Claresville,,36.62265,-77.45081,P,PPL,US,,VA,081,,,0,27,28,America/New_York,2006-01-15
4046663,Beasons Mill (historical),Beasons Mill (historical),,34.44092,-85.76163,S,,US,,AL,049,,,0,250,252,America/Chicago,2010-02-14
4046664,Coal Pier 5,Coal Pier 5,,36.87793,-76.32883,S,,US,,VA,710,,,0,1,-9999,America/New_York,2010-02-19
4046665,Beasons Mill (historical),Beasons Mill (historical),,33.87788,-86.30387,S,,US,,AL,115,,,0,177,187,America/Chicago,2010-02-19
4046666,Copper Creek Bluff,Copper Creek Bluff,,36.66815,-82.6046,T,CLF,US,,VA,169,,,0,427,427,America/New_York,2006-01-15
4046667,Beatrice,Beatrice,,31.73349,-87.20471,P,PPL,US,,AL,099,,,285,82,85,America/Chicago,2017-03-09
4046668,Cove,Cove,,36.98209,-78.74556,P,PPL,US,,VA,083,,,0,130,143,America/New_York,2010-02-18
4046669,Beatrice Elementary School,Beatrice Elementary School,,31.73766,-87.20638,S,SCH,US,,AL,099,,,0,82,86,America/Chicago,2006-01-15
4046670,Covesville Post Office,Covesville Post Office,,37.89107,-78.70446,S,PO,US,,VA,003,,,0,232,232,America/New_York,2016-12-07
4046671,Beatty Branch,Beatty Branch,,33.17484,-87.35167,H,STM,US,,AL,125,,,0,104,112,America/Chicago,2006-01-15
4046672,Crescent Rock Trail,Crescent Rock Trail,,38.56679,-78.37778,R,TRL,US,,VA,113,,,0,1059,1060,America/New_York,2006-01-15
4046673,Beason Grove Baptist Church,Beason Grove Baptist Church,"Beason Grove Baptist Church,Beason Grove Church",33.56039,-85.55385,S,CH,US,,AL,029,,,0,279,292,America/Chicago,2006-01-15
4046674,Crockett,Crockett,"Crockett,Crockett Depot,Crocketts Depot",36.88623,-81.19204,P,PPL,US,,VA,197,,,0,716,714,America/New_York,2006-01-15
4046675,Beauchamp Branch,Beauchamp Branch,"Beachan Creek,Beauchamp Branch",34.77453,-87.07696,H,STM,US,,AL,083,,,0,191,200,America/Chicago,2006-01-15
4046676,Crow Bar,Crow Bar,,38.0443,-76.55607,T,CAPE,US,,VA,193,,,0,0,1,America/New_York,2006-01-15
4046677,Beauford Landing,Beauford Landing,"Beauford Landing,Burford Landing",31.95293,-87.39333,S,,US,,AL,131,,,0,14,18,America/Chicago,2010-02-14
4046678,Dale Cemetery,Dale Cemetery,,37.0026,-82.54682,S,CMTY,US,,VA,195,,,0,781,784,America/New_York,2006-01-15
4046679,Beaulah School (historical),Beaulah School (historical),,32.23292,-86.49692,S,SCH,US,,AL,085,,,0,67,69,America/Chicago,2006-01-15
4046680,Dawn,Dawn,,37.83431,-77.36942,S,,US,,VA,033,,,0,62,65,America/New_York,2010-09-05
4046681,Beaumont Church (historical),Beaumont Church (historical),,31.46266,-87.42971,S,CH,US,,AL,099,,,0,126,128,America/Chicago,2007-02-14
4046682,Doran,Doran,Doran,37.09261,-81.83345,P,PPL,US,,VA,185,,,0,585,589,America/New_York,2006-01-15
4046683,Beauregard,Beauregard,"Beauregard,bo lei jia de,bywrgard,bywrqard  alabama,بیورقارد، آلاباما,بیورگارد,博勒加德",32.54319,-85.37078,P,PPL,US,,AL,081,,,0,192,196,America/Chicago,2006-01-15
4046684,Dropmore,Dropmore,,37.28763,-80.0581,P,PPL,US,,VA,775,,,0,313,315,America/New_York,2006-01-15
4046685,Beauregard Church,Beauregard Church,,32.51403,-85.368,S,CH,US,,AL,081,,,0,190,194,America/Chicago,2006-01-15
4046686,Dudie,Dudie,,38.74512,-77.88416,P,PPL,US,,VA,061,,,0,124,135,America/New_York,2010-02-18
4046687,Beauregard High School,Beauregard High School,"Beauregard High School,Beauregard School",32.5493,-85.37328,S,SCH,US,,AL,081,,,0,186,189,America/Chicago,2006-01-15
4046688,Duty,Duty,,37.0815,-82.1518,P,PPL,US,,VA,051,,,0,461,454,America/New_York,2006-01-15
4046689,Beautiful Zion African Methodist Episcopal Zion Church,Beautiful Zion African Methodist Episcopal Zion Church,"Allen Chapel,Beautiful Zion African Methodist Episcopal Zion Church,Beautiful Zion Church",32.01293,-86.45803,S,CH,US,,AL,085,,,0,116,122,America/Chicago,2006-01-15
4046690,Eton Hill,Eton Hill,,37.22569,-80.00809,P,PPL,US,,VA,161,,,0,356,356,America/New_York,2006-01-15
4046691,Beautiful Zion African Methodist Episcopal Zion Church,Beautiful Zion African Methodist Episcopal Zion Church,"Beautiful Zion African Methodist Episcopal Zion Church,Beautiful Zion Church",33.17901,-87.62945,S,CH,US,,AL,125,,,0,44,47,America/Chicago,2010-02-14
4046692,Fairfax County Landfill,Fairfax County Landfill,,38.85456,-77.38165,S,LNDF,US,,VA,059,,,0,140,159,America/New_York,2010-02-18
4046693,Beautiful Zion Cemetery,Beautiful Zion Cemetery,,33.17956,-87.62918,S,CMTY,US,,AL,125,,,0,43,47,America/Chicago,2010-02-14
4046694,Fairlee,Fairlee,,38.87372,-77.27137,P,PPL,US,,VA,059,,,0,112,119,America/New_York,2006-01-15
4046695,Beaven Cemetery,Beaven Cemetery,,33.69372,-87.55806,S,CMTY,US,,AL,057,,,0,188,190,America/Chicago,2006-01-15
4046696,Fall,Fall,,36.62458,-79.36836,S,,US,,VA,143,,,0,142,146,America/New_York,2010-09-05
4046697,Beaver Branch,Beaver Branch,,31.82294,-85.60689,H,STM,US,,AL,005,,,0,103,120,America/Chicago,2006-01-15
4046698,Fields Gap,Fields Gap,,36.59732,-82.79683,T,GAP,US,,VA,169,,,0,454,476,America/New_York,2006-01-15
4046699,Beaula Camp Grounds,Beaula Camp Grounds,,31.41683,-87.30359,S,CMP,US,,AL,099,,,0,123,131,America/Chicago,2010-02-14
4046700,First Church of God,First Church of God,"First Church of God,Holiness Church",36.86956,-81.41011,S,CH,US,,VA,173,,,0,708,709,America/New_York,2007-02-14
4046701,Beaver Branch,Beaver Branch,,32.71235,-86.76137,H,STM,US,,AL,021,,,0,112,124,America/Chicago,2006-01-15
4046702,First Methodist Church,First Methodist Church,,36.69009,-83.11017,S,CH,US,,VA,105,,,0,468,467,America/New_York,2006-01-15
4046703,Beaver Branch,Beaver Branch,,31.69016,-86.29913,H,STM,US,,AL,041,,,0,79,87,America/Chicago,2006-01-15
4046704,Fort Hunt,Fort Hunt,"Fort Hunt,Fort Khant,Fort-Gant,frt hant,frt hant  wyrjynya,fwrt hnt,Форт Хант,Форт-Гант,فرت هانت,فرت هانت، ویرجینیا,فورت هنت,フォート・ハント",38.73289,-77.05803,P,PPL,US,,VA,059,,,16045,10,16,America/New_York,2011-05-14
4046705,Beaver Branch,Beaver Branch,,31.87599,-86.37747,H,STM,US,,AL,041,,,0,108,116,America/Chicago,2006-01-15
4046706,Franklin Cemetery,Franklin Cemetery,,36.67121,-82.81766,S,CMTY,US,,VA,169,,,0,524,517,America/New_York,2006-01-15
4046707,Beaver Branch,Beaver Branch,,31.43072,-85.70327,H,STM,US,,AL,045,,,0,66,73,America/Chicago,2006-01-15
4046708,Franks Mill,Franks Mill,,38.22207,-79.10698,P,PPL,US,,VA,015,,,0,408,407,America/New_York,2006-01-15
4046709,Beaver Branch,Beaver Branch,,34.9662,-86.22249,H,STM,US,,AL,071,,,0,213,222,America/Chicago,2006-01-15
4046710,Gatewood Dam,Gatewood Dam,,37.03845,-80.8598,S,DAM,US,,VA,155,,,0,642,661,America/New_York,2006-01-15
4046711,Beaver Branch,Beaver Branch,,31.79933,-85.79189,H,STM,US,,AL,109,,,0,106,120,America/Chicago,2006-01-15
4046712,Genito,Genito,,37.46209,-77.85917,P,PPL,US,,VA,145,,,0,92,96,America/New_York,2006-01-15
4046713,Beaver Church,Beaver Church,"Beaver Church,Beaver Creek Church",33.62567,-87.91669,S,CH,US,,AL,057,,,0,110,116,America/Chicago,2010-02-14
4046714,Gibson Mill,Gibson Mill,,36.60619,-83.57602,P,PPL,US,,VA,105,,,0,371,377,America/New_York,2006-01-15
4046715,Beaver Creek,Beaver Creek,,32.40097,-86.73248,H,STM,US,,AL,001,,,0,38,40,America/Chicago,2010-09-05
4046716,Godwins Millpond Dam,Godwins Millpond Dam,"Crumps Pond Dam,Godwins Millpond Dam",36.86432,-76.58301,S,DAM,US,,VA,800,,,0,3,6,America/New_York,2006-01-15
4046717,Beaver Creek,Beaver Creek,,32.57041,-86.51192,H,STM,US,,AL,001,,,0,91,102,America/Chicago,2006-01-15
4046718,Goodes Bridge,Goodes Bridge,"Burton's Bridge,Goode Bridge,Goode's Bridge,Goodes Bridge",37.35487,-77.85167,S,BDG,US,,VA,041,,,0,55,52,America/New_York,2010-09-05
4046719,Beaver Creek,Beaver Creek,"Beaver Creek,Peary Creek",31.77988,-86.65109,H,STM,US,,AL,013,,,0,96,107,America/Chicago,2006-01-15
4046720,Goose Creek Burying Ground,Goose Creek Burying Ground,,39.11566,-77.6961,S,CMTY,US,,VA,107,,,0,154,150,America/New_York,2006-01-15
4046721,Beaver Creek,Beaver Creek,,31.8671,-88.22724,H,STM,US,,AL,023,,,0,17,31,America/Chicago,2006-01-15
4046722,Gouldmans Dam,Gouldmans Dam,,38.17624,-77.2047,S,DAM,US,,VA,033,,,0,2,5,America/New_York,2006-01-15
4046723,Beaver Creek,Beaver Creek,,32.9129,-86.28053,H,STM,US,,AL,037,,,0,116,138,America/Chicago,2006-01-15
4046724,Grant,Grant,,36.66234,-81.40399,P,PPL,US,,VA,077,,,0,860,863,America/New_York,2006-01-15
4046725,Beaver Creek,Beaver Creek,,31.11462,-86.33745,H,STM,US,,AL,039,,,0,53,66,America/Chicago,2006-01-15
4046727,Beaver Creek,Beaver Creek,,31.58461,-85.6255,H,STM,US,,AL,045,,,0,88,86,America/Chicago,2010-02-14
4046728,Green Bay,Green Bay,"Green Bay,Villa Green",37.96514,-77.69471,P,PPL,US,,VA,085,,,0,100,100,America/New_York,2010-02-18
4046729,Beaver Creek,Beaver Creek,,33.6365,-87.94919,H,STM,US,,AL,057,,,0,87,93,America/Chicago,2010-10-12
4046730,Guinea,Guinea,"Guinea,Guinea Station,Guiney,Guiney's,Guiney's Station,gyny,ji nei ya,qyny  wyrjynya,תחנת גינאה,قینی، ویرجینیا,گینی,幾內亞",38.14374,-77.43776,P,PPL,US,,VA,033,,,0,41,39,America/New_York,2006-01-15
4046731,Beaver Creek,Beaver Creek,,33.73539,-87.60584,H,STM,US,,AL,057,,,0,113,119,America/Chicago,2010-02-14
4046732,Halfmoon Point,Halfmoon Point,,37.82263,-75.73715,T,CAPE,US,,VA,001,,,0,0,0,America/New_York,2006-01-15
4046733,Beaver Creek,Beaver Creek,,33.01512,-87.76001,H,STM,US,,AL,063,,,0,36,48,America/Chicago,2010-02-14
4046734,Hallwood,Hallwood,,37.87763,-75.58909,P,PPL,US,,VA,001,,,204,6,8,America/New_York,2017-03-09
4046735,Beaver Creek,Beaver Creek,,32.99096,-88.03252,H,STM,US,,AL,063,,,0,54,66,America/Chicago,2006-01-15
4046736,Harrells Dam,Harrells Dam,,36.77614,-77.39201,S,DAM,US,,VA,183,,,0,26,33,America/New_York,2010-09-05
4046737,Beaver Creek,Beaver Creek,,31.68461,-85.3466,H,STM,US,,AL,067,,,0,95,98,America/Chicago,2010-02-14
4046738,Harris Mountain,Harris Mountain,,36.64513,-80.70201,T,MT,US,,VA,035,,,0,891,886,America/New_York,2006-01-15
4046739,Beaver Creek,Beaver Creek,,31.22045,-85.49855,H,STM,US,,AL,069,,,0,64,67,America/Chicago,2006-01-15
4046740,Henry Cemetery,Henry Cemetery,"Henry Cemetery,Henry's Grave",37.03236,-78.89696,S,CMTY,US,,VA,037,,,0,154,158,America/New_York,2010-02-19
4046741,Beaver Creek,Beaver Creek,,31.30962,-85.2741,H,STM,US,,AL,069,,,0,53,62,America/Chicago,2010-02-14
4046742,Herbert Dam,Herbert Dam,,38.90678,-77.88972,S,DAM,US,,VA,061,,,0,151,151,America/New_York,2006-01-15
4046743,Beaver Creek,Beaver Creek,,33.69899,-86.68582,H,STM,US,,AL,073,,,0,177,184,America/Chicago,2006-01-15
4046744,Hickory Run,Hickory Run,,36.96515,-77.84889,P,PPL,US,,VA,025,,,0,94,100,America/New_York,2010-02-18
4046745,Beaver Creek,Beaver Creek,"Beaver Creek,Beaverton Creek",33.92955,-88.12364,H,STM,US,,AL,075,,,0,94,106,America/Chicago,2011-01-10
4046746,High Hill Church,High Hill Church,"High Hill Baptist Church,High Hill Church,High Hills Baptist Church",36.81709,-77.46109,S,CH,US,,VA,183,,,0,46,52,America/New_York,2006-01-15
4046747,Beaver Creek,Beaver Creek,,31.9732,-86.69276,H,STM,US,,AL,085,,,0,88,93,America/Chicago,2006-01-15
4046748,Hillendale Park,Hillendale Park,,38.65845,-77.33971,L,PRK,US,,VA,153,,,0,90,99,America/New_York,2006-01-15
4046749,Beaver Creek,Beaver Creek,,32.1957,-88.00918,H,STM,US,,AL,091,,,0,11,18,America/Chicago,2010-02-14
4046750,Holy Trinity Lutheran Church,Holy Trinity Lutheran Church,,38.86789,-77.18859,S,CH,US,,VA,059,,,0,100,100,America/New_York,2006-01-15
4046751,Beaver Creek,Beaver Creek,"Bailey Creek,Beaver Creek",31.74321,-87.43944,H,STM,US,,AL,099,,,0,11,15,America/Chicago,2006-01-15
4046752,Hopper Creek Group Camp,Hopper Creek Group Camp,"Hopper Creek Group Camp,Hopper Creek Recreation Site",37.56041,-79.50893,S,CMP,US,,VA,163,,,0,330,348,America/New_York,2010-02-18
4046753,Beaver Creek,Beaver Creek,,33.42845,-87.96947,H,STM,US,,AL,107,,,0,76,82,America/Chicago,2010-02-14
4046754,Hume,Hume,"Barbee Crossroads,Barbees,Hume",38.83206,-77.99944,P,PPL,US,,VA,061,,,0,208,206,America/New_York,2010-02-18
4046755,Beaver Creek,Beaver Creek,,33.14262,-88.27809,H,STM,US,,AL,107,,,0,33,48,America/Chicago,2006-01-15
4046756,Hundley Dam,Hundley Dam,,38.03013,-76.95469,S,DAM,US,,VA,057,,,0,1,1,America/New_York,2006-01-15
4046757,Beaver Creek,Beaver Creek,,33.12151,-86.60693,H,STM,US,,AL,117,,,0,145,160,America/Chicago,2006-01-15
4046758,Huntington Park,Huntington Park,,38.79678,-77.06998,L,PRK,US,,VA,059,,,0,2,1,America/New_York,2006-01-15
4046759,Beaver Creek,Beaver Creek,,33.83927,-86.06858,H,STM,US,,AL,115,,,0,155,154,America/Chicago,2010-02-14
4046760,Jack,Jack,,37.19654,-77.50915,P,PPL,US,,VA,053,,,0,58,58,America/New_York,2006-01-15
4046761,Beaver Creek,Beaver Creek,,32.94791,-88.30698,H,STM,US,,AL,119,,,0,37,42,America/Chicago,2006-01-15
4046762,Jenkins Bridge,Jenkins Bridge,"Jenkins Bridge,Jenkins' Bridge,Jenkinsons Bridge",37.92818,-75.60798,S,,US,,VA,001,,,0,1,4,America/New_York,2010-02-18
4046763,Beaver Creek,Beaver Creek,,32.00348,-87.475,H,STM,US,,AL,131,,,0,11,19,America/Chicago,2006-01-15
4046764,Jones Dam,Jones Dam,,37.18015,-77.65138,S,DAM,US,,VA,053,,,0,80,89,America/New_York,2006-01-15
4046765,Beaver Creek,Beaver Creek,,31.88154,-86.91526,H,STM,US,,AL,131,,,0,69,72,America/Chicago,2006-01-15
4046766,Kane Gap,Kane Gap,"Cain Gap,Kane Gap",36.73259,-82.82405,T,GAP,US,,VA,169,,,0,785,810,America/New_York,2006-01-15
4046767,Beaver Creek Baptist Cemetery,Beaver Creek Baptist Cemetery,,32.17181,-87.8789,S,CMTY,US,,AL,091,,,0,52,60,America/Chicago,2006-01-15
4046768,Kendall Dam,Kendall Dam,,36.79347,-79.39475,S,DAM,US,,VA,143,,,0,196,202,America/New_York,2006-01-15
4046769,Beaver Creek Church,Beaver Creek Church,,31.80904,-86.71109,S,CH,US,,AL,013,,,0,118,126,America/Chicago,2006-01-15
4046770,Kennedy Mine,Kennedy Mine,,37.95458,-79.00364,S,MN,US,,VA,015,,,0,634,626,America/New_York,2006-01-15
4046771,Beaver Creek Church,Beaver Creek Church,,32.17126,-87.88029,S,CH,US,,AL,091,,,0,58,63,America/Chicago,2006-01-15
4046772,Kimages Hill,Kimages Hill,,37.34404,-77.22414,T,MT,US,,VA,036,,,0,17,18,America/New_York,2006-01-15
4046773,Beaver Creek Gas Field,Beaver Creek Gas Field,,33.94455,-88.0042,L,OILF,US,,AL,075,,,0,111,117,America/Chicago,2010-10-12
4046774,King Point,King Point,,37.88818,-76.27272,T,CAPE,US,,VA,133,,,0,0,1,America/New_York,2006-01-15
4046775,Beaver Creek Landing (historical),Beaver Creek Landing (historical),,32.19487,-88.00835,S,,US,,AL,091,,,0,13,18,America/Chicago,2010-02-14
4046776,Lake Holly Dam,Lake Holly Dam,,37.98514,-77.2547,S,DAM,US,,VA,033,,,0,36,43,America/New_York,2006-01-15
4046777,Beaver Creek Lookout Tower,Beaver Creek Lookout Tower,"Beaver Creek Fire Tower,Beaver Creek Lookout Tower",30.6638,-88.34862,S,TOWR,US,,AL,097,,,0,46,50,America/Chicago,2010-02-14
4046778,Lauraville,Lauraville,,37.96041,-77.19525,P,PPL,US,,VA,033,,,0,56,58,America/New_York,2010-09-05
4046779,Beaver Creek Mountains,Beaver Creek Mountains,"Beaver Creek Mountains,Beaver Mountain,Beaver Mountains,Oak Ridge",33.77066,-86.27665,T,RDGE,US,,AL,115,,,0,262,267,America/Chicago,2010-02-14
4046780,Lick Points,Lick Points,,38.32568,-79.787,T,RDGE,US,,VA,091,,,0,1117,1131,America/New_York,2006-01-15
4046781,Beaver Creek Sewage Treatment Plant,Beaver Creek Sewage Treatment Plant,,31.21934,-85.4666,S,SWT,US,,AL,069,,,0,76,77,America/Chicago,2010-02-14
4046782,Linton Dam,Linton Dam,,37.93014,-78.17639,S,DAM,US,,VA,065,,,0,132,142,America/New_York,2006-01-15
4046783,Beaver Creek Valley,Beaver Creek Valley,,33.85065,-86.05692,T,VAL,US,,AL,115,,,0,155,154,America/Chicago,2006-01-15
